                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0654,                 4.3677,                 1.4888,                0.02283,                0.72514,                0.08767,                0.06079,                 1.0542,                 4.1147,                 1.5401,               0.070316,              0.0032982,              0.0032982
                      1,                0.95966,                 3.7723,                  1.384,                0.29548,                0.34473,                0.21227,                0.14671,                 1.1356,                 3.3009,                 1.5721,               0.040309,               0.006625,               0.006625
                      2,                 1.0392,                 3.3205,                 1.4379,                0.21715,                0.35902,                0.19602,                0.11268,                 1.6059,                 3.5676,                 2.0707,               0.010296,              0.0099452,              0.0099452
                      3,                 1.0627,                 3.0533,                 1.4308,                  0.324,                0.52292,                0.36772,                 0.2644,                 1.1098,                 2.9046,                 1.6526,              0.0099703,              0.0099703,              0.0099703
                      4,                 1.0581,                 2.8968,                 1.4244,                0.36301,                0.53037,                0.46139,                0.31408,                 1.3041,                 3.1466,                 1.8089,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.0401,                 2.7107,                 1.3884,                0.37198,                0.61399,                0.50771,                0.38103,                 1.0302,                 2.4998,                 1.4862,              0.0099604,              0.0099604,              0.0099604
                      6,                 0.9876,                 2.4759,                  1.343,                0.72036,                0.47167,                0.61967,                0.44431,                 1.0889,                 1.8517,                 1.5324,              0.0099505,              0.0099505,              0.0099505
                      7,                0.98041,                 2.3709,                 1.3491,                0.50123,                0.56957,                0.64901,                0.46761,                 1.1558,                  2.108,                 1.5793,              0.0099406,              0.0099406,              0.0099406
                      8,                0.96086,                 2.2342,                 1.3215,                0.68164,                0.68387,                0.77848,                0.58474,                 1.0061,                 1.5315,                 1.4818,              0.0099307,              0.0099307,              0.0099307
                      9,                0.95697,                 2.1481,                 1.3264,                0.70508,                0.63303,                0.77421,                0.60083,                0.98468,                 1.4369,                 1.4009,              0.0099208,              0.0099208,              0.0099208
                     10,                0.93301,                 2.0144,                 1.2864,                0.68671,                0.76153,                0.82487,                0.66086,                0.90308,                 1.2271,                  1.322,              0.0099109,              0.0099109,              0.0099109
                     11,                0.94294,                 1.9471,                 1.2997,                 0.6921,                  0.717,                0.80975,                0.61139,                 1.0499,                 1.3133,                 1.4806,               0.009901,               0.009901,               0.009901
                     12,                0.88855,                  1.795,                 1.2548,                0.62208,                0.62658,                0.71649,                0.56562,                0.95741,                 1.6176,                 1.3984,              0.0098911,              0.0098911,              0.0098911
                     13,                 0.8908,                 1.7242,                 1.2485,                0.75277,                0.77395,                 0.8519,                0.67254,                0.88219,                 1.1143,                  1.307,              0.0098812,              0.0098812,              0.0098812
                     14,                0.87683,                 1.6587,                 1.2445,                0.65348,                0.77165,                0.83618,                 0.6479,                0.97976,                 1.2951,                 1.3674,              0.0098713,              0.0098713,              0.0098713
